,store,sido,gungu,store_address
870,신창부영점,광주광역시,광산구,광주광역시 광산구 신창동 1270번지 부영@2차 상가 2-106
871,신창점,충청남도,아산시,충청남도 아산시 신창면 서부남로 868
872,신천은행점,경기도,시흥시,경기도 시흥시 신천동 781-22
873,신천점,대구광역시,동구,대구광역시 동구 신천동 279-17
874,신탄1덕암점,대전광역시,대덕구,대전광역시 대덕구 평촌동 535-1 덕암연립상가2동 1층 1호~2호
875,신탄3점,대전광역시,대덕구,대전광역시 대덕구 신탄진동 18-8
876,신태인점,전라북도,정읍시,전라북도 정읍시 신태인중앙로 7
877,신풍시장점,서울특별시,영등포구,서울특별시 영등포구 신길3동 325-96
878,신항점,충청남도,태안군,충청남도 태안군 근흥면 신진도리 527-8
879,신현리점,경기도,광주시,경기도 광주시 오포읍 새말길 94
880,신현점,인천광역시,서구,인천광역시 서구 원창로239번길 4(가정동)
881,신흥2점,경기도,성남시,"경기도 성남시수정구 수정로220번길 5, 1층(신흥동)"
882,심곡5점,경기도,부천시,경기도 부천시원미구 부흥로373번길 44
883,심곡본1점,경기도,부천시,"경기도 부천시소사구 성주로 159(심곡본동,1층)"
884,심곡점,인천광역시,서구,인천광역시 서구 심곡로 170 상가동 1층 103호
885,십정2점,인천광역시,부평구,인천광역시 부평구 이규보로95번길 14
886,십정점,인천광역시,부평구,인천광역시 부평구 배곶남로 18
887,쌍문동점,서울특별시,도봉구,서울특별시 도봉구 쌍문동 56 삼익A 상가 107
888,쌍촌시영점,광주광역시,서구,광주광역시 서구 쌍촌로 37
889,아동점,경기도,파주시,경기도 파주시 정담길 5(아동동)
890,아라점,제주특별자치도,제주시,제주특별자치도 제주시 아라동 아라주공 아파트 상가 106호
891,아산풍기점,충청남도,아산시,충청남도 아산시 풍기동 514
892,아중점,전라북도,전주시,전라북도 전주시덕진구 인후동1가 888-7
893,안강점,경상북도,경주시,경상북도 경주시 안강읍 비화원로 117
894,안녕송산점,경기도,화성시,경기도 화성시 안녕동 37-1
895,안면점,충청남도,태안군,충청남도 태안군 안면읍 장터로 114
896,안산3점,경기도,안산시,경기도 안산시단원구 예술대학로 107 상가104호
897,안산상록수점,경기도,안산시,경기도 안산시상록구 본삼로 17 1층 103호
898,안산이동점,경기도,안산시,"경기도 안산시상록구 도매시장로 34-1, 102호"
899,안산일동점,경기도,안산시,경기도 안산시상록구 호동로 81(일동)
900,안산효자점,경기도,안산시,경기도 안산시단원구 선부광장서로1길 15 효자상가103호
901,안서점,충청남도,천안시,충청남도 천안시동남구 안서동 중암1길 17
902,안성2점,경기도,안성시,경기도 안성시 신건지동 1-2
903,안양5동점,경기도,안양시,경기도 안양시만안구 안양동 388-12
904,안의점,경상남도,함양군,경상남도 함양군 안의면 금천리 203-4
905,안정리점,경기도,평택시,"경기도 평택시 팽성읍 안정쇼핑로 77-2, 12"
906,안중점,경기도,평택시,경기도 평택시 안중읍 안현로서7길 16
907,안흥점,강원도,횡성군,강원도 횡성군 안흥면 안흥로 30-1
908,암사역점,서울특별시,강동구,서울특별시 강동구 암사1동 501-25
909,앙성점,충청북도,충주시,충청북도 충주시 앙성면 가곡로 1033-1
910,애월점,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 애월리 1717-6
911,야탑점,경기도,성남시,"경기도 성남시분당구 야탑로139번길 18-3 (야탑동,1층)"
912,약대점,경기도,부천시,경기도 부천시오정구 삼정동 318-5 1층
913,약목점,경상북도,칠곡군,경상북도 칠곡군 약목면 약목로 94-2(2층 건물내 1층)
914,약수역점,서울특별시,중구,서울특별시 중구 신당동 321-1 1층
915,양곡1점,경기도,김포시,경기도 김포시 양촌읍 양곡2로60번길 53 101호
916,양덕원점,강원도,홍천군,강원도 홍천군 남면 시동로 4
917,양동점,경기도,양평군,경기도 양평군 양동면 양동시장길 6-5
918,양문점,경기도,포천시,경기도 포천시 영중면 양문로 98-1
919,양벌점,경기도,광주시,경기도 광주시 오포읍 양벌로 190
920,양성점,경기도,안성시,경기도 안성시 양성면 읍내길 26
921,양수리점,경기도,양평군,경기도 양평군 양서면 양수로150번길 9-2
922,양재점,서울특별시,서초구,서울특별시 서초구 양재동 8-71 광성빌딜 1층
923,양정염포점,울산광역시,북구,울산광역시 북구 염포로 591-1(양정동)
924,양평동부점,경기도,양평군,경기도 양평군 양평읍 시민로 30
925,양평옥천점,경기도,양평군,"경기도 양평군 옥천면 북부길9번길, 5"
926,양평용문점,경기도,양평군,경기도 양평군 용문면 용문로 359
927,양평점,경기도,양평군,경기도 양평군 양평읍 중앙로167번길62
928,어양점,전라북도,익산시,전라북도 익산시 고봉로18길 107(어양동)
929,언양점,울산광역시,울주군,울산광역시 울주군 언양읍 읍성로 40
930,엄사금암점,충청남도,계룡시,충청남도 계룡시 엄사면 번영2길 4-41 101
931,엄정점,충청북도,충주시,충청북도 충주시 엄정면 내창로 205
932,여월점,경기도,부천시,경기도 부천시오정구 여월동 52-4 1층
933,여의도점,서울특별시,영등포구,"서울특별시 영등포구 여의나루로 117, 109(여의도동)"
934,여주점,경기도,여주시,경기도 여주시 여주읍 여흥로 97
935,역곡1점,경기도,부천시,경기도 부천시원미구 역곡로 61 (역곡동)
936,역북점,경기도,용인시,경기도 용인시처인구 역북동 중부대로1299번길 12 
937,역삼동점,서울특별시,강남구,"서울특별시 강남구 논현로63길 16, 1층116호(역삼동,역삼종합시장더블루)"
938,연남동점,서울특별시,마포구,서울특별시 마포구 연남로 41(연남동)
939,연동점,제주특별자치도,제주시,제주특별자치도 제주시 연동 251-23
940,연무대점,충청남도,논산시,충청남도 논산시 연무읍 안심로 127
941,연봉점,강원도,홍천군,강원도 홍천군 홍천읍 무궁화로 88
942,연성점,경기도,시흥시,"경기도 시흥시 인선길 100, 107호(장곡동, 연성프라자)"
943,연수3점,인천광역시,연수구,인천광역시 연수구 연수동 540 문남상가 107호
944,연수5점,인천광역시,연수구,"인천광역시 연수구 먼우금로 126, 107호(동춘동, 대림현대)"
945,연수6점,인천광역시,연수구,"인천광역시 연수구 샘말로 106-7(연수동, 1층 일부)"
946,연수동점,충청북도,충주시,충청북도 충주시 연원로 28(연수동)
947,연수주공점,인천광역시,연수구,인천광역시 연수구 연수동 533 연수상가 103호
948,연안점,인천광역시,중구,인천광역시 중구 항동7가 27-35
949,연지점,경기도,안성시,경기도 안성시 연지동 16-1
950,연천점,경기도,연천군,경기도 연천군 연천읍 연천로 262
951,연풍점,경기도,파주시,경기도 파주시 파주읍 술이홀로 449
952,연풍점(충북),충청북도,괴산군,충청북도 괴산군 연풍면 향교로 28
953,염창동점,서울특별시,강서구,서울특별시 강서구 공항대로65길 51. 1층(염창동)
954,영광점,전라남도,영광군,전라남도 영광군 영광읍 남천리 312-2
955,영덕점,경상북도,영덕군,경상북도 영덕군 영덕읍 중앙길 120-3
956,영동아파트점,서울특별시,강남구,"서울특별시 강남구 역삼로64길 11, 1층(대치동)"
957,영등포점,서울특별시,영등포구,서울특별시 영등포구 당산동3가 27
